County,Mean Wage,Tier
Anson,"$33,358 ",1
Beaufort,"$37,611 ",1
Bertie,"$30,317 ",1
Bladen,"$35,419 ",1
Caswell,"$33,090 ",1
Chowan,"$34,112 ",1
Cleveland,"$38,751 ",1
Columbus,"$33,817 ",1
Cumberland,"$36,425 ",1
Duplin,"$34,265 ",1
Edgecombe,"$34,401 ",1
Gates,"$32,581 ",1
Graham,"$34,009 ",1
Greene,"$30,947 ",1
Halifax,"$32,216 ",1
Hertford,"$36,593 ",1
Hoke,"$34,186 ",1
Hyde,"$27,565 ",1
Jones,"$33,147 ",1
Lenoir,"$36,766 ",1
Martin,"$30,494 ",1
Mitchell,"$37,324 ",1
Nash,"$39,515 ",1
Northampton,"$35,973 ",1
Pasquotank,"$34,929 ",1
Perquimans,"$33,985 ",1
Richmond,"$34,008 ",1
Robeson,"$32,438 ",1
Rockingham,"$34,716 ",1
Rutherford,"$34,115 ",1
Sampson,"$36,921 ",1
Scotland,"$35,707 ",1
Surry,"$35,533 ",1
Swain,"$29,372 ",1
Tyrrell,"$29,873 ",1
Vance,"$34,457 ",1
Warren,"$28,356 ",1
Washington,"$44,004 ",1
Wayne,"$35,485 ",1
Wilson,"$44,012 ",1
Alamance,"$40,778 ",2
Alexander,"$32,263 ",2
Alleghany,"$29,655 ",2
Ashe,"$34,855 ",2
Avery,"$30,472 ",2
Burke,"$35,759 ",2
Caldwell,"$38,957 ",2
Camden,"$34,993 ",2
Carteret,"$31,610 ",2
Catawba,"$42,068 ",2
Cherokee,"$31,820 ",2
Clay,"$30,348 ",2
Craven,"$38,100 ",2
Dare,"$30,655 ",2
Davidson,"$39,787 ",2
Forsyth,"$52,232 ",2
Franklin,"$41,849 ",2
Gaston,"$39,852 ",2
Granville,"$40,932 ",2
Guilford,"$47,955 ",2
Harnett,"$33,061 ",2
Jackson,"$32,238 ",2
Lee,"$41,567 ",2
Macon,"$33,226 ",2
Madison,"$34,019 ",2
McDowell,"$35,905 ",2
Montgomery,"$35,919 ",2
Onslow,"$29,534 ",2
Pamlico,"$27,268 ",2
Person,"$40,698 ",2
Pitt,"$39,569 ",2
Polk,"$31,042 ",2
Randolph,"$35,401 ",2
Rowan,"$42,221 ",2
Stanly,"$33,102 ",2
Stokes,"$30,607 ",2
Transylvania,"$33,262 ",2
Wilkes,"$35,331 ",2
Yadkin,"$34,783 ",2
Yancey,"$32,490 ",2
Brunswick,"$37,501 ",3
Buncombe,"$41,229 ",3
Cabarrus,"$38,695 ",3
Chatham,"$36,731 ",3
Currituck,"$33,554 ",3
Davie,"$35,277 ",3
Durham,"$68,731 ",3
Haywood,"$35,538 ",3
Henderson,"$38,297 ",3
Iredell,"$47,345 ",3
Johnston,"$39,716 ",3
Lincoln,"$39,479 ",3
Mecklenburg,"$66,709 ",3
Moore,"$39,129 ",3
New Hanover,"$42,663 ",3
Orange,"$46,112 ",3
Pender,"$32,627 ",3
Union,"$43,868 ",3
Wake,"$58,138 ",3
Watauga,"$32,136 ",3
North Carolina,"$49,822 ",
